Date,JNJ,PG,MSFT,KO,XOM,NKE,IBM,WMT,AAPL,JPM
1995-05-12,16.75,17.65625,5.085938,15.15625,17.4375,2.449219,23.4375,12.1875,1.4598209999999998,14.833332999999998
1995-05-15,15.875,17.25,5.039063,14.75,17.5,2.457031,23.625,12.75,1.5401790000000002,15.0
1995-05-16,15.9375,17.25,5.09375,14.46875,17.625,2.492188,23.5625,12.75,1.5401790000000002,15.041667000000002
1995-05-17,15.9375,17.28125,5.328125,14.34375,17.8125,2.476563,23.75,12.4375,1.5625,15.125
1995-05-18,15.6875,17.28125,5.351563,14.5,17.71875,2.488281,23.65625,12.4375,1.575893,14.916667000000002
1995-05-19,15.40625,16.90625,5.265625,14.3125,17.5,2.460938,23.0625,12.25,1.53125,14.958332999999998
1995-05-22,15.78125,17.0625,5.335938,14.59375,17.53125,2.453125,23.375,12.4375,1.517857,14.875
1995-05-23,15.9375,17.28125,5.46875,14.6875,17.53125,2.488281,23.875,12.375,1.575893,15.25
1995-05-24,16.28125,17.34375,5.570313,14.96875,17.75,2.511719,24.375,12.375,1.5625,15.666667000000002
1995-05-25,16.125,17.21875,5.492188,14.90625,17.84375,2.441406,24.0625,12.0,1.544643,15.416667000000002
1995-05-26,16.1875,17.5625,5.574219,15.0,17.8125,2.488281,24.15625,12.0,1.535714,15.5
1995-05-30,16.0625,17.375,5.5,14.90625,17.46875,2.441406,23.90625,11.9375,1.5223209999999998,15.416667000000002
1995-05-31,16.0625,17.4375,5.203125,15.03125,17.53125,2.445313,23.09375,12.0,1.504464,15.125
1995-06-01,16.5,17.9375,5.3125,15.40625,17.8125,2.460938,23.375,12.5,1.495536,15.375
1995-06-02,16.5625,17.75,5.234375,15.25,17.6875,2.453125,23.40625,12.4375,1.495536,15.625
1995-06-05,16.53125,17.6875,5.164063,15.21875,17.625,2.511719,22.9375,12.4375,1.513393,15.875
1995-06-06,16.46875,17.5,5.304688,15.09375,17.71875,2.457031,23.09375,12.4375,1.558036,15.708332999999998
1995-06-07,16.5625,17.65625,5.179688,15.0625,17.71875,2.476563,22.6875,12.625,1.575893,15.541667000000002
1995-06-08,16.4375,17.6875,5.257813,15.125,17.6875,2.5,22.53125,12.625,1.549107,15.458332999999998
1995-06-09,16.5625,17.65625,5.234375,15.1875,17.6875,2.480469,22.40625,12.5625,1.558036,14.916667000000002
1995-06-12,16.53125,17.625,5.289063,15.0,17.625,2.5,22.625,12.5625,1.5714290000000002,15.0
1995-06-13,16.65625,17.875,5.257813,15.0625,17.6875,2.574219,22.84375,12.8125,1.589286,15.0
1995-06-14,16.78125,17.84375,5.210938,15.125,17.625,2.558594,22.96875,13.0625,1.566964,15.416667000000002
1995-06-15,16.96875,17.90625,5.25,15.21875,17.625,2.550781,23.40625,13.25,1.558036,15.5
1995-06-16,16.9375,18.21875,5.3125,15.34375,17.875,2.613281,23.28125,13.125,1.566964,15.291667000000002
1995-06-19,17.15625,18.34375,5.453125,15.59375,18.0625,2.632813,23.34375,13.25,1.566964,15.333332999999998
1995-06-20,17.28125,18.40625,5.648438,15.6875,17.84375,2.664063,23.46875,13.375,1.642857,15.583332999999998
1995-06-21,17.125,18.40625,5.742188,15.8125,17.5,2.632813,24.5,13.375,1.700893,16.083334
1995-06-22,17.4375,18.46875,5.664063,16.09375,17.25,2.617188,24.34375,13.4375,1.75,15.958332999999998
1995-06-23,17.6875,18.0,5.671875,16.21875,17.25,2.648438,24.375,13.375,1.7410709999999998,16.0
1995-06-26,17.78125,17.875,5.6875,16.34375,17.5625,2.625,24.625,13.25,1.723214,15.833332999999998
1995-06-27,17.3125,17.96875,5.59375,16.4375,17.53125,2.617188,24.53125,13.0625,1.691964,15.791667000000002
1995-06-28,16.90625,18.21875,5.421875,16.1875,17.71875,2.585938,23.75,13.125,1.642857,15.791667000000002
1995-06-29,17.09375,18.1875,5.5,16.125,18.03125,2.585938,24.09375,13.4375,1.65625,16.083334
1995-06-30,17.15625,18.15625,5.601563,16.0,18.03125,2.613281,24.4375,13.25,1.6875,15.833332999999998
